file time avg-energy max-energy min-energy
juliaRow 31.947 1631.88 1667.63 1594.24
juliaMap 20.099 1021.33 1030.58 1013.16
juliaM256f 5.725 298.599 310.262 289.523
juliaM256fomp 0.947 60.5002 63.7886 57.2812
juliaM512f 4.078 213.18 216.11 210.329
juliaM512fomp 0.887 54.3148 60.5539 49.5938
