time energy_total energy_core energy_ram power
32.11 1625033701 1400022905 225010796 5.06083e+07
31.21 1594241366 1374271140 219970226 5.10811e+07
33.06 1667629980 1444233180 223396800 5.04425e+07
31.65 1641191679 1419361967 221829712 5.18544e+07
31.90 1618322955 1395512053 222810902 5.07311e+07
31.87 1639722348 1416644079 223078269 5.14503e+07
31.99 1623528128 1400280656 223247472 5.07511e+07
31.82 1608295110 1386103629 222191481 5.05435e+07
31.89 1651547849 1428248297 223299552 5.17889e+07
31.97 1649275647 1424756240 224519407 5.15882e+07
