time energy_total energy_core energy_ram power
8.52 444585009 384062799 60522210 5.21813e+07
8.39 434644135 374912920 59731215 5.1805e+07
8.73 439145445 379019903 60125542 5.0303e+07
8.46 438931037 378910101 60020936 5.18831e+07
8.45 438417960 378517098 59900862 5.18838e+07
8.42 440924985 380837892 60087093 5.23664e+07
8.39 436912598 377026562 59886036 5.20754e+07
8.48 446621482 386191821 60429661 5.26676e+07
8.50 444569489 384155450 60414039 5.23023e+07
8.45 437664995 377902231 59762764 5.17947e+07
