time energy_total energy_core energy_ram power
5.97 308606016 266268361 42337655 51692800
5.76 300957482 259851752 41105730 5.22496e+07
5.57 292335114 252705957 39629157 5.24839e+07
5.78 301496227 260246892 41249335 5.2162e+07
5.71 297149842 256707229 40442613 5.20403e+07
5.65 291696804 252114955 39581849 5.16278e+07
5.92 310261885 268437362 41824523 5.24091e+07
5.61 294090141 254287313 39802828 5.24225e+07
5.74 299873597 259648750 40224847 5.22428e+07
5.54 289523238 250288117 39235121 5.22605e+07
