time energy_total energy_core energy_ram power
18.91 560610722 426193062 134417660 2.96463e+07
18.93 562654116 428088504 134565612 2.97229e+07
18.90 559821551 425343333 134478218 2.96202e+07
19.30 567982932 431616021 136366911 2.94292e+07
18.92 562713710 427703251 135010459 2.97417e+07
18.92 560718985 426068978 134650007 2.96363e+07
18.93 561220798 426814093 134406705 2.96472e+07
19.08 565098644 429338745 135759899 2.96173e+07
18.89 562302304 427908328 134393976 2.97672e+07
18.89 561031966 426780035 134251931 2.96999e+07
