time energy_total energy_core energy_ram power
75.06 2203894583 1671528314 532366269 2.93618e+07
75.33 2212555894 1678881811 533674083 2.93715e+07
75.06 2207367942 1674720749 532647193 2.9408e+07
75.07 2216948300 1683005029 533943271 2.95317e+07
75.04 2203948292 1672137260 531811032 2.93703e+07
75.04 2203783059 1672876150 530906909 2.93681e+07
75.11 2206840153 1674731980 532108173 2.93814e+07
75.14 2206664927 1673479908 533185019 2.93674e+07
75.45 2214060052 1679611423 534448629 2.93447e+07
75.12 2205606704 1674553940 531052764 2.93611e+07
