time energy_total energy_core energy_ram power
3.97 210328741 182485189 27843552 5.29795e+07
4.01 210863201 182796590 28066611 5.25843e+07
4.08 211637809 183565997 28071812 5.1872e+07
4.21 213911597 185996533 27915064 5.08104e+07
4.11 214415167 186211193 28203974 5.21691e+07
4.03 210521697 182533468 27988229 5.22386e+07
4.06 216109880 187487313 28622567 5.3229e+07
3.98 214804726 186390514 28414212 5.3971e+07
4.05 213136364 184897659 28238705 5.26263e+07
4.28 216075783 187767524 28308259 5.0485e+07
