time energy_total energy_core energy_ram power
0.90 55868173 50056085 5812088 6.20757e+07
0.86 55168207 49272030 5896177 6.41491e+07
0.95 60553908 53988204 6565704 6.3741e+07
0.92 52731895 47200501 5531394 5.73173e+07
1.04 55329962 49672053 5657909 5.32019e+07
0.94 53803093 48180052 5623041 5.72373e+07
0.83 53007021 47533569 5473452 6.38639e+07
0.88 54194071 48620847 5573224 6.15842e+07
0.80 52898238 47290284 5607954 6.61228e+07
0.75 49593840 44487190 5106650 66125120
